date,day,month,year,cases,deaths,countries
22/03/2022,22,3,2022,7401,30,Denmark
21/03/2022,21,3,2022,5221,28,Denmark
20/03/2022,20,3,2022,4984,27,Denmark
19/03/2022,19,3,2022,6352,37,Denmark
18/03/2022,18,3,2022,7216,38,Denmark
17/03/2022,17,3,2022,8326,43,Denmark
16/03/2022,16,3,2022,9585,25,Denmark
15/03/2022,15,3,2022,9947,36,Denmark
14/03/2022,14,3,2022,7892,21,Denmark
13/03/2022,13,3,2022,6658,47,Denmark
12/03/2022,12,3,2022,7091,52,Denmark
11/03/2022,11,3,2022,13826,27,Denmark
10/03/2022,10,3,2022,14309,41,Denmark
09/03/2022,9,3,2022,16958,60,Denmark
08/03/2022,8,3,2022,15475,43,Denmark
07/03/2022,7,3,2022,12225,37,Denmark
06/03/2022,6,3,2022,10827,38,Denmark
05/03/2022,5,3,2022,15735,58,Denmark
04/03/2022,4,3,2022,20266,41,Denmark
02/03/2022,2,3,2022,20458,38,Denmark
01/03/2022,1,3,2022,18561,37,Denmark
28/02/2022,28,2,2022,16578,28,Denmark
27/02/2022,27,2,2022,16454,46,Denmark
26/02/2022,26,2,2022,17359,37,Denmark
25/02/2022,25,2,2022,22784,40,Denmark
24/02/2022,24,2,2022,25209,39,Denmark
23/02/2022,23,2,2022,29040,47,Denmark
22/02/2022,22,2,2022,30480,34,Denmark
21/02/2022,21,2,2022,28883,29,Denmark
20/02/2022,20,2,2022,25690,34,Denmark
19/02/2022,19,2,2022,33304,28,Denmark
18/02/2022,18,2,2022,35658,43,Denmark
17/02/2022,17,2,2022,40600,44,Denmark
16/02/2022,16,2,2022,42948,24,Denmark
15/02/2022,15,2,2022,42978,30,Denmark
14/02/2022,14,2,2022,29474,41,Denmark
13/02/2022,13,2,2022,38323,30,Denmark
12/02/2022,12,2,2022,44350,37,Denmark
11/02/2022,11,2,2022,48170,24,Denmark
10/02/2022,10,2,2022,53747,29,Denmark
09/02/2022,9,2,2022,55120,21,Denmark
08/02/2022,8,2,2022,49798,18,Denmark
07/02/2022,7,2,2022,34849,28,Denmark
06/02/2022,6,2,2022,36512,18,Denmark
05/02/2022,5,2,2022,39190,35,Denmark
04/02/2022,4,2,2022,40179,17,Denmark
03/02/2022,3,2,2022,44225,21,Denmark
02/02/2022,2,2,2022,55001,20,Denmark
01/02/2022,1,2,2022,45366,15,Denmark
31/01/2022,31,1,2022,29084,17,Denmark
30/01/2022,30,1,2022,36196,21,Denmark
29/01/2022,29,1,2022,41083,17,Denmark
