date,day,month,year,casesDenmark,deathsDenmark,casesFinland,deathsFinland,casesNorway,deathsNorway,casesSweden,deathsSweden
26/02/2020,26,2,2020,1,0,6,0,33,0,8,0
27/02/2020,27,2,2020,1,0,1,0,33,0,3,0
28/02/2020,28,2,2020,1,0,7,1,24,0,0,0
01/03/2020,1,3,2020,1,0,7,0,19,0,5,0
02/03/2020,2,3,2020,4,0,9,0,65,0,13,0
03/03/2020,3,3,2020,5,0,17,0,247,0,30,0
04/03/2020,4,3,2020,3,0,54,0,241,0,25,0
05/03/2020,5,3,2020,10,0,76,0,175,0,59,0
06/03/2020,6,3,2020,2,0,60,0,206,0,33,0
07/03/2020,7,3,2020,9,0,28,1,147,1,46,0
08/03/2020,8,3,2020,48,0,29,1,100,0,101,0
09/03/2020,9,3,2020,210,0,53,0,99,0,98,0
10/03/2020,10,3,2020,256,0,52,1,180,0,196,1
11/03/2020,11,3,2020,207,1,47,2,176,2,151,0
12/03/2020,12,3,2020,44,0,90,0,213,0,152,1
13/03/2020,13,3,2020,33,0,99,1,239,0,71,1
14/03/2020,14,3,2020,37,1,87,1,308,3,69,2
15/03/2020,15,3,2020,45,2,87,2,174,1,83,2
16/03/2020,16,3,2020,74,1,78,1,148,0,119,1
17/03/2020,17,3,2020,76,1,84,4,296,0,145,6
18/03/2020,18,3,2020,83,4,99,1,313,1,143,7
19/03/2020,19,3,2020,107,5,104,5,292,2,180,9
20/03/2020,20,3,2020,103,4,113,4,298,2,136,8
21/03/2020,21,3,2020,48,3,95,2,262,2,118,11
22/03/2020,22,3,2020,62,3,77,4,166,2,182,11
23/03/2020,23,3,2020,132,6,70,10,106,4,230,21
24/03/2020,24,3,2020,139,6,129,10,264,2,314,22
25/03/2020,25,3,2020,151,6,125,7,208,4,286,31
26/03/2020,26,3,2020,171,12,149,4,198,2,365,32
27/03/2020,27,3,2020,217,12,161,6,198,4,300,35
28/03/2020,28,3,2020,200,9,199,5,164,10,280,38
29/03/2020,29,3,2020,128,8,81,7,88,2,416,45
30/03/2020,30,3,2020,313,11,122,4,72,6,474,48
31/03/2020,31,3,2020,255,15,209,10,159,8,486,53
01/04/2020,1,4,2020,282,22,200,17,140,1,554,70
02/04/2020,2,4,2020,12,0,138,8,106,10,602,80
03/04/2020,3,4,2020,12,0,158,11,103,11,357,70
04/04/2020,4,4,2020,52,0,71,3,68,8,340,85
05/04/2020,5,4,2020,43,0,75,3,110,4,389,90
06/04/2020,6,4,2020,43,0,80,11,76,6,739,84
07/04/2020,7,4,2020,64,0,117,12,77,5,654,115
08/04/2020,8,4,2020,42,0,175,10,122,11,645,86
09/04/2020,9,4,2020,42,0,130,14,103,13,454,90
10/04/2020,10,4,2020,23,0,120,12,80,3,395,102
11/04/2020,11,4,2020,12,0,125,10,108,6,464,97
12/04/2020,12,4,2020,32,0,56,0,49,0,437,84
13/04/2020,13,4,2020,13,0,67,6,36,12,479,91
14/04/2020,14,4,2020,12,0,143,17,84,6,604,115
15/04/2020,15,4,2020,31,0,112,4,78,0,623,111
16/04/2020,16,4,2020,52,0,124,6,77,9,689,83
17/04/2020,17,4,2020,42,0,116,0,69,6,532,86
18/04/2020,18,4,2020,25,0,92,3,53,11,388,87
19/04/2020,19,4,2020,14,0,76,6,25,11,461,85
20/04/2020,20,4,2020,32,0,73,5,37,2,707,62
21/04/2020,21,4,2020,12,0,123,1,71,0,723,77
22/04/2020,22,4,2020,36,0,139,2,50,0,758,86
23/04/2020,23,4,2020,21,0,108,1,39,2,781,89
24/04/2020,24,4,2020,19,0,86,4,39,7,473,73
25/04/2020,25,4,2020,32,0,48,2,43,2,300,74
26/04/2020,26,4,2020,13,0,58,3,23,0,563,74
27/04/2020,27,4,2020,41,0,61,3,44,0,742,83
28/04/2020,28,4,2020,21,0,133,7,45,4,799,83
29/04/2020,29,4,2020,36,0,125,4,44,0,636,78
30/04/2020,30,4,2020,36,0,95,2,39,1,532,78
01/05/2020,1,5,2020,63,0,108,7,29,0,299,72
02/05/2020,2,5,2020,35,0,81,1,42,0,261,75
03/05/2020,3,5,2020,35,0,47,2,11,4,477,83
04/05/2020,4,5,2020,45,0,28,0,12,0,657,72
05/05/2020,5,5,2020,45,0,92,1,25,4,745,73
06/05/2020,6,5,2020,46,0,67,2,19,7,785,80
07/05/2020,7,5,2020,54,0,78,2,19,4,701,60
08/05/2020,8,5,2020,34,0,50,0,24,1,509,68
09/05/2020,9,5,2020,36,0,55,1,23,3,279,73
10/05/2020,10,5,2020,56,0,25,2,13,0,455,65
11/05/2020,11,5,2020,84,4,29,0,4,0,754,61
12/05/2020,12,5,2020,78,,45,2,17,0,698,50
13/05/2020,13,5,2020,76,6,41,0,20,1,657,46
14/05/2020,14,5,2020,46,4,43,1,19,0,688,58
15/05/2020,15,5,2020,78,0,22,0,14,1,358,48
16/05/2020,16,5,2020,67,6,32,1,26,0,259,52
17/05/2020,17,5,2020,69,4,18,0,6,1,430,59
18/05/2020,18,5,2020,41,1,20,0,6,0,666,41
19/05/2020,19,5,2020,76,3,45,1,18,0,808,52
20/05/2020,20,5,2020,73,3,33,0,12,0,610,53
21/05/2020,21,5,2020,65,7,12,0,18,0,532,56
22/05/2020,22,5,2020,48,0,30,0,16,1,403,55
23/05/2020,23,5,2020,59,0,21,1,16,0,210,44
24/05/2020,24,5,2020,71,1,10,0,0,0,490,42
25/05/2020,25,5,2020,27,1,12,0,6,0,746,28
26/05/2020,26,5,2020,41,0,17,0,7,0,800,38
27/05/2020,27,5,2020,52,2,15,0,31,1,774,40
28/05/2020,28,5,2020,32,3,25,0,12,0,773,40
29/05/2020,29,5,2020,81,0,12,0,17,1,432,38
30/05/2020,30,5,2020,40,3,13,0,30,0,265,46
31/05/2020,31,5,2020,36,3,13,0,8,0,648,39
01/06/2020,1,6,2020,30,2,4,0,9,0,900,36
02/06/2020,2,6,2020,35,4,10,0,19,1,1046,28
03/06/2020,3,6,2020,37,0,8,0,13,0,1039,44
04/06/2020,4,6,2020,40,2,7,0,14,0,1146,37
05/06/2020,5,6,2020,64,4,9,0,11,3,780,29
06/06/2020,6,6,2020,49,1,13,0,13,0,462,33
07/06/2020,7,6,2020,24,2,2,0,7,0,677,38
08/06/2020,8,6,2020,14,4,5,0,6,0,937,33
09/06/2020,9,6,2020,39,0,16,0,18,0,1437,39
10/06/2020,10,6,2020,15,0,8,0,36,0,1293,35
11/06/2020,11,6,2020,19,0,4,0,15,1,1329,29
12/06/2020,12,6,2020,64,1,8,0,13,1,1032,33
13/06/2020,13,6,2020,40,3,0,0,18,0,418,27
14/06/2020,14,6,2020,54,0,2,1,6,0,685,30
15/06/2020,15,6,2020,24,1,13,1,4,0,1209,28
16/06/2020,16,6,2020,33,0,5,0,28,4,1457,32
17/06/2020,17,6,2020,44,0,5,0,13,0,1494,29
18/06/2020,18,6,2020,50,2,17,1,21,1,1209,30
19/06/2020,19,6,2020,47,0,14,0,17,0,698,29
20/06/2020,20,6,2020,34,0,3,0,22,0,321,22
21/06/2020,21,6,2020,65,0,2,0,10,0,800,20
22/06/2020,22,6,2020,136,2,7,0,1,0,1309,25
23/06/2020,23,6,2020,34,1,16,1,26,0,1696,22
24/06/2020,24,6,2020,54,0,10,0,11,0,1276,23
25/06/2020,25,6,2020,21,0,2,0,8,0,1204,11
26/06/2020,26,6,2020,39,1,7,0,9,0,755,14
27/06/2020,27,6,2020,45,0,6,0,10,0,415,23
28/06/2020,28,6,2020,40,0,2,0,2,0,726,16
29/06/2020,29,6,2020,76,1,3,0,1,0,808,20
30/06/2020,30,6,2020,17,0,8,0,14,0,685,15
01/07/2020,1,7,2020,26,1,3,0,10,0,687,15
02/07/2020,2,7,2020,21,0,9,0,11,0,694,8
03/07/2020,3,7,2020,17,0,8,0,8,0,364,15
04/07/2020,4,7,2020,20,0,6,0,13,3,315,9
05/07/2020,5,7,2020,10,0,0,0,4,0,251,15
06/07/2020,6,7,2020,46,1,4,0,5,0,278,12
07/07/2020,7,7,2020,10,2,6,0,19,1,533,10
08/07/2020,8,7,2020,12,0,5,0,8,0,334,15
09/07/2020,9,7,2020,16,0,5,0,6,0,369,14
10/07/2020,10,7,2020,30,0,9,0,4,1,308,10
11/07/2020,11,7,2020,60,0,6,0,12,1,106,8
12/07/2020,12,7,2020,50,0,7,0,1,0,170,12
13/07/2020,13,7,2020,91,1,5,0,3,0,312,8
14/07/2020,14,7,2020,24,0,12,1,21,0,287,6
15/07/2020,15,7,2020,31,0,8,0,6,0,268,6
16/07/2020,16,7,2020,32,0,11,0,22,0,284,7
17/07/2020,17,7,2020,49,1,3,0,6,0,191,11
18/07/2020,18,7,2020,70,0,10,0,24,0,110,7
19/07/2020,19,7,2020,60,0,4,0,6,0,131,6
20/07/2020,20,7,2020,89,0,8,0,9,0,226,7
21/07/2020,21,7,2020,40,0,12,0,24,0,297,6
22/07/2020,22,7,2020,48,0,9,1,16,0,220,5
23/07/2020,23,7,2020,42,1,12,1,37,0,262,3
24/07/2020,24,7,2020,46,1,8,0,23,0,138,1
25/07/2020,25,7,2020,70,0,18,0,72,0,42,2
26/07/2020,26,7,2020,110,0,15,0,14,0,71,6
27/07/2020,27,7,2020,109,0,10,0,13,0,283,4
28/07/2020,28,7,2020,30,0,35,1,38,1,301,1
29/07/2020,29,7,2020,57,1,22,0,40,0,302,0
30/07/2020,30,7,2020,91,1,29,0,66,0,258,2
31/07/2020,31,7,2020,64,0,22,0,79,0,303,2
01/08/2020,1,8,2020,90,0,17,0,80,0,38,3
02/08/2020,2,8,2020,80,0,9,0,35,0,165,4
03/08/2020,3,8,2020,207,1,35,0,34,0,333,2
04/08/2020,4,8,2020,77,0,15,0,63,0,425,1
05/08/2020,5,8,2020,112,0,28,0,43,0,378,4
06/08/2020,6,8,2020,121,1,27,0,63,0,380,2
07/08/2020,7,8,2020,136,0,21,0,54,1,260,1
08/08/2020,8,8,2020,320,0,27,0,76,4,73,4
09/08/2020,9,8,2020,120,0,14,0,44,0,196,2
10/08/2020,10,8,2020,373,3,43,1,27,0,417,4
11/08/2020,11,8,2020,144,1,27,0,74,0,443,3
12/08/2020,12,8,2020,111,0,39,0,58,1,363,5
13/08/2020,13,8,2020,144,0,47,0,60,0,344,1
14/08/2020,14,8,2020,165,0,27,0,51,2,226,1
15/08/2020,15,8,2020,104,0,25,0,53,0,63,0
16/08/2020,16,8,2020,134,0,16,0,45,0,174,3
17/08/2020,17,8,2020,123,0,11,0,19,0,314,4
18/08/2020,18,8,2020,115,0,17,0,67,0,351,1
19/08/2020,19,8,2020,85,0,15,0,42,0,333,2
20/08/2020,20,8,2020,116,0,20,0,40,0,298,5
21/08/2020,21,8,2020,71,0,32,0,52,0,160,1
22/08/2020,22,8,2020,112,1,35,0,84,0,57,3
23/08/2020,23,8,2020,78,0,19,0,42,0,174,1
24/08/2020,24,8,2020,80,1,18,0,50,0,222,1
25/08/2020,25,8,2020,83,0,48,1,148,0,244,2
26/08/2020,26,8,2020,57,0,29,1,115,0,202,1
27/08/2020,27,8,2020,90,1,26,0,101,0,179,1
28/08/2020,28,8,2020,73,0,36,0,125,0,131,1
29/08/2020,29,8,2020,79,0,42,1,119,0,48,3
30/08/2020,30,8,2020,112,0,22,0,73,0,162,2
31/08/2020,31,8,2020,94,0,33,1,60,0,171,3
01/09/2020,1,9,2020,99,1,45,0,132,0,213,2
02/09/2020,2,9,2020,111,1,57,0,113,0,286,2
03/09/2020,3,9,2020,179,0,55,3,124,0,262,0
04/09/2020,4,9,2020,173,1,54,0,132,1,171,0
05/09/2020,5,9,2020,189,0,58,2,119,0,67,3
06/09/2020,6,9,2020,147,0,40,0,67,0,185,1
07/09/2020,7,9,2020,230,1,45,0,78,0,236,1
08/09/2020,8,9,2020,243,0,59,1,104,0,314,2
09/09/2020,9,9,2020,251,0,53,0,133,0,254,2
10/09/2020,10,9,2020,317,1,58,1,137,0,291,4
11/09/2020,11,9,2020,292,0,85,0,117,1,206,1
12/09/2020,12,9,2020,341,1,77,0,94,1,106,2
13/09/2020,13,9,2020,333,1,64,0,58,0,220,2
14/09/2020,14,9,2020,347,2,74,0,77,0,292,1
15/09/2020,15,9,2020,334,0,120,0,163,0,330,2
16/09/2020,16,9,2020,369,1,110,1,101,0,389,1
17/09/2020,17,9,2020,453,1,118,2,143,0,437,1
18/09/2020,18,9,2020,454,0,98,0,133,3,279,1
19/09/2020,19,9,2020,589,0,128,1,130,0,133,4
20/09/2020,20,9,2020,469,3,74,0,63,0,266,2
21/09/2020,21,9,2020,418,2,71,0,54,0,438,1
22/09/2020,22,9,2020,476,1,124,0,124,4,553,0
23/09/2020,23,9,2020,558,2,134,0,110,0,540,1
24/09/2020,24,9,2020,559,2,168,0,120,0,630,4
25/09/2020,25,9,2020,678,2,191,2,131,0,325,2
26/09/2020,26,9,2020,619,1,187,0,134,1,167,1
27/09/2020,27,9,2020,424,1,178,0,110,0,378,1
28/09/2020,28,9,2020,435,0,148,0,89,0,613,2
29/09/2020,29,9,2020,392,1,291,2,209,0,689,4
30/09/2020,30,9,2020,534,0,301,1,198,0,633,1
01/10/2020,1,10,2020,398,1,306,2,199,0,712,3
02/10/2020,2,10,2020,536,1,259,0,168,0,461,3
03/10/2020,3,10,2020,370,2,226,0,141,0,156,3
04/10/2020,4,10,2020,378,4,111,1,65,0,374,2
05/10/2020,5,10,2020,377,1,132,2,78,0,786,4
06/10/2020,6,10,2020,322,4,256,0,167,1,831,3
07/10/2020,7,10,2020,331,0,199,0,155,1,834,1
08/10/2020,8,10,2020,446,2,202,2,162,0,783,5
09/10/2020,9,10,2020,482,0,191,0,141,1,509,5
10/10/2020,10,10,2020,444,2,195,1,137,0,161,2
11/10/2020,11,10,2020,340,2,104,0,88,0,637,3
12/10/2020,12,10,2020,389,2,129,0,93,0,916,1
13/10/2020,13,10,2020,290,3,243,3,219,0,968,2
14/10/2020,14,10,2020,492,1,167,0,183,0,902,3
15/10/2020,15,10,2020,430,2,188,0,221,1,1179,2
16/10/2020,16,10,2020,418,0,223,1,285,0,697,4
17/10/2020,17,10,2020,500,2,194,1,368,0,321,1
18/10/2020,18,10,2020,451,1,107,0,231,0,771,4
19/10/2020,19,10,2020,452,6,124,1,202,0,1289,4
20/10/2020,20,10,2020,529,2,255,0,487,0,1571,3
21/10/2020,21,10,2020,630,2,234,1,391,1,1666,9
22/10/2020,22,10,2020,760,4,240,0,515,0,1867,7
23/10/2020,23,10,2020,859,3,236,0,431,1,1477,8
24/10/2020,24,10,2020,789,3,220,1,617,1,514,8
25/10/2020,25,10,2020,945,2,121,0,385,0,1069,11
26/10/2020,26,10,2020,1056,6,151,0,323,0,2414,9
27/10/2020,27,10,2020,745,1,287,0,647,0,3389,9
28/10/2020,28,10,2020,1017,6,241,0,683,0,3262,9
29/10/2020,29,10,2020,860,1,214,0,690,0,4056,9
30/10/2020,30,10,2020,1191,3,218,0,602,2,2987,13
31/10/2020,31,10,2020,1126,2,196,2,650,0,1297,22
01/11/2020,1,11,2020,948,2,128,2,388,0,1569,20
02/11/2020,2,11,2020,942,1,132,7,385,0,3608,20
03/11/2020,3,11,2020,1353,4,273,3,707,1,4482,21
04/11/2020,4,11,2020,936,1,206,0,603,0,4744,22
05/11/2020,5,11,2020,1223,4,295,1,662,0,4454,25
06/11/2020,6,11,2020,1427,5,284,4,637,6,4451,27
07/11/2020,7,11,2020,1050,2,268,7,697,3,2097,22
08/11/2020,8,11,2020,891,3,145,2,379,0,3725,35
09/11/2020,9,11,2020,771,4,180,2,405,0,4497,35
10/11/2020,10,11,2020,1066,3,393,1,722,0,5709,27
11/11/2020,11,11,2020,994,3,388,1,635,4,5564,28
12/11/2020,12,11,2020,1011,2,377,3,652,1,6730,33
13/11/2020,13,11,2020,1037,1,478,3,564,6,3513,38
14/11/2020,14,11,2020,1078,1,428,6,519,1,1581,39
15/11/2020,15,11,2020,1058,3,270,10,288,0,2544,37
16/11/2020,16,11,2020,1195,4,267,4,279,0,4458,44
17/11/2020,17,11,2020,1220,4,504,5,610,5,4961,50
18/11/2020,18,11,2020,1257,2,471,6,415,3,7609,46
19/11/2020,19,11,2020,1297,3,619,8,513,2,5458,45
20/11/2020,20,11,2020,1257,5,510,2,477,0,4492,51
21/11/2020,21,11,2020,1273,3,456,6,447,12,2422,59
22/11/2020,22,11,2020,850,3,284,2,236,0,3877,55
23/11/2020,23,11,2020,1169,5,293,5,228,0,5674,68
24/11/2020,24,11,2020,1367,8,596,10,448,4,6066,69
25/11/2020,25,11,2020,1183,5,440,2,362,2,6903,60
26/11/2020,26,11,2020,1191,9,495,7,420,17,6462,65
27/11/2020,27,11,2020,1323,5,478,7,400,2,3825,50
28/11/2020,28,11,2020,1636,7,473,3,382,1,2753,50
29/11/2020,29,11,2020,998,6,250,6,252,0,3480,67
30/11/2020,30,11,2020,1129,8,283,10,262,0,5819,67
01/12/2020,1,12,2020,1468,9,587,10,500,5,6547,71
02/12/2020,2,12,2020,1586,6,478,3,392,2,6986,77
03/12/2020,3,12,2020,1605,6,462,5,453,0,7338,70
04/12/2020,4,12,2020,1603,9,407,4,435,21,4864,43
05/12/2020,5,12,2020,2115,11,447,8,403,5,1803,81
06/12/2020,6,12,2020,1745,7,249,3,256,0,3782,58
07/12/2020,7,12,2020,2046,9,276,5,285,0,7446,54
08/12/2020,8,12,2020,2150,7,463,11,544,6,8398,75
09/12/2020,9,12,2020,2558,3,360,7,440,2,6693,86
10/12/2020,10,12,2020,3132,14,352,4,450,7,7717,89
11/12/2020,11,12,2020,3075,9,324,1,431,2,6538,68
12/12/2020,12,12,2020,3552,8,394,5,475,0,3057,71
13/12/2020,13,12,2020,2642,6,191,3,309,0,3534,94
14/12/2020,14,12,2020,3337,9,244,4,299,0,7001,88
15/12/2020,15,12,2020,2992,11,375,4,621,1,8824,102
16/12/2020,16,12,2020,3692,14,332,5,560,0,9640,116
17/12/2020,17,12,2020,4034,17,277,3,587,16,7917,71
18/12/2020,18,12,2020,4508,15,139,3,292,0,5509,80
19/12/2020,19,12,2020,3285,12,157,2,293,0,3752,94
20/12/2020,20,12,2020,2828,16,183,0,466,0,5160,76
21/12/2020,21,12,2020,3198,18,191,4,425,0,6595,93
22/12/2020,22,12,2020,2543,17,435,5,778,8,11376,87
23/12/2020,23,12,2020,3297,26,308,2,699,4,5036,88
24/12/2020,24,12,2020,2869,18,255,4,639,3,2793,106
25/12/2020,25,12,2020,2992,20,254,6,434,0,2966,94
26/12/2020,26,12,2020,1834,19,158,3,346,0,3208,99
27/12/2020,27,12,2020,2180,21,233,4,526,0,7091,121
28/12/2020,28,12,2020,2479,30,204,3,447,0,8872,73
29/12/2020,29,12,2020,2621,22,479,7,938,13,10459,90
30/12/2020,30,12,2020,2783,30,277,4,795,3,6999,110
31/12/2020,31,12,2020,2249,42,210,3,710,14,2618,87
01/01/2021,1,1,2021,2451,24,339,3,739,1,2530,99
02/01/2021,2,1,2021,1611,23,253,4,651,4,2754,83
03/01/2021,3,1,2021,1170,29,196,2,414,0,6982,86
04/01/2021,4,1,2021,2076,15,194,3,435,0,7546,93
05/01/2021,5,1,2021,1992,31,388,8,639,7,5028,82
06/01/2021,6,1,2021,2216,30,229,9,563,4,7148,103
07/01/2021,7,1,2021,1842,37,262,5,462,27,5691,99
