date,casesDenmark,deathsDenmark,casesFinland,deathsFinland,casesNorway,deathsNorway,casesSweden,deathsSweden
01/04/2020,3176,110,2704,94,5911,58,5317,385
01/05/2020,4323,132,5928,281,7949,209,22137,2953
01/06/2020,6012,183,7067,305,8469,238,39306,4660
01/07/2020,7295,214,7283,309,8864,249,68549,5490
01/08/2020,8766,224,7604,313,9498,256,77244,5723
01/09/2020,12572,233,8424,318,11481,264,84568,5794
01/10/2020,23585,259,11689,334,14978,275,94471,5845
01/11/2020,41938,330,17858,352,24702,284,133327,6017
01/12/2020,76068,446,28522,487,38676,354,266854,7292
01/01/2021,159066,907,38223,622,53904,466,457373,9904
01/02/2021,194059,1734,48387,717,64995,582,576466,12276
01/03/2021,206782,1970,62813,802,75659,632,668922,13046
01/04/2021,229391,2028,81225,894,101101,677,819998,13633
01/05/2021,250216,2094,88835,941,116066,767,983482,14195
01/06/2021,280015,2125,93681,979,127152,785,1075617,14549
01/07/2021,292465,2143,97551,988,132609,794,1090794,14634
01/08/2021,315595,2158,112651,1021,140689,803,1100643,14649
01/09/2021,344481,2193,131931,1071,170203,822,1128696,14700
01/10/2021,357584,2265,146447,1149,192440,870,1154216,14885
01/11/2021,386571,2323,164767,1303,216939,922,1174157,15036
01/12/2021,486189,2504,197571,1526,295975,1096,1209843,15156
01/01/2022,768793,2810,306383,1811,421401,1307,1326005,15342
01/02/2022,1660878,3264,526272,2317,829629,1440,2070063,16078
01/03/2022,2683147,4142,698201,2801,1277217,1598,2441475,17440
22/03/2022,2922460,4925,812209,2881,1383140,2339,2475685,18020
